                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7412,                 0.4394,                0.94915,                 1.7571,             0.00023787,             0.00023787,             0.00023787
                      2,                 1.5006,                0.50752,                0.97102,                 1.7133,             0.00042876,             0.00042876,             0.00042876
                      3,                 1.3989,                0.53176,                0.97451,                 1.7034,             0.00057252,             0.00057252,             0.00057252
                      4,                 1.3304,                0.56687,                0.97924,                 1.6681,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.2841,                0.56631,                  0.983,                 1.6519,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.2497,                0.58819,                0.98314,                 1.6432,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.2139,                0.58763,                0.98468,                 1.6363,             0.00028988,             0.00028988,             0.00028988
                      8,                  1.191,                0.59571,                0.98426,                 1.6395,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.1571,                 0.6017,                0.98454,                 1.6241,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.1413,                0.60616,                0.98621,                 1.6167,             7.7826e-05,             7.7826e-05,             7.7826e-05
