                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6748,                0.49958,                0.96531,                 1.7178,             0.00023787,             0.00023787,             0.00023787
                      2,                  1.373,                0.56172,                 0.9791,                 1.6616,             0.00042876,             0.00042876,             0.00042876
                      3,                 1.2762,                0.57216,                0.98091,                   1.67,             0.00057252,             0.00057252,             0.00057252
                      4,                 1.2032,                0.60727,                0.98426,                  1.626,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.1403,                0.61897,                0.98649,                 1.6116,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.1037,                0.63137,                0.98551,                 1.5975,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.0607,                0.63848,                0.98802,                 1.5933,             0.00028988,             0.00028988,             0.00028988
                      8,                  1.025,                0.65074,                0.98899,                 1.5813,              0.0002192,              0.0002192,              0.0002192
                      9,                0.98643,                0.65617,                0.99094,                 1.5718,             0.00014851,             0.00014851,             0.00014851
                     10,                0.95588,                0.66202,                0.99206,                 1.5621,             7.7826e-05,             7.7826e-05,             7.7826e-05
