                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96883,                0.64405,                0.98941,                 1.5825,             0.00023787,             0.00023787,             0.00023787
                      2,                  1.038,                0.63416,                0.98816,                 1.5841,             0.00042876,             0.00042876,             0.00042876
                      3,                 1.0587,                0.63068,                0.98551,                 1.5974,             0.00057252,             0.00057252,             0.00057252
                      4,                 1.0473,                0.63973,                0.98746,                 1.5788,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.0111,                0.64531,                0.98774,                 1.5777,             0.00043126,             0.00043126,             0.00043126
                      6,                0.97644,                0.65352,                0.98913,                 1.5655,             0.00036057,             0.00036057,             0.00036057
                      7,                0.94701,                0.65965,                0.98885,                 1.5603,             0.00028988,             0.00028988,             0.00028988
                      8,                0.91396,                  0.663,                0.98885,                 1.5535,              0.0002192,              0.0002192,              0.0002192
                      9,                0.88395,                0.66634,                0.98955,                 1.5494,             0.00014851,             0.00014851,             0.00014851
                     10,                 0.8533,                0.67777,                0.98969,                 1.5395,             7.7826e-05,             7.7826e-05,             7.7826e-05
