                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95443,                0.64075,                0.98259,                 1.6902,             0.00023777,             0.00023777,             0.00023777
                      2,                0.97526,                0.62352,                0.97846,                 1.6968,             0.00044437,             0.00044437,             0.00044437
                      3,                0.96209,                0.61795,                0.97882,                 1.7028,             0.00061955,             0.00061955,             0.00061955
                      4,                0.94485,                0.61616,                0.98205,                 1.6937,             0.00057263,             0.00057263,             0.00057263
                      5,                0.90951,                0.63196,                0.97917,                  1.686,              0.0005255,              0.0005255,              0.0005255
                      6,                 0.8895,                0.62998,                0.98241,                 1.6756,             0.00047838,             0.00047838,             0.00047838
                      7,                 0.8733,                0.63214,                0.98151,                 1.6807,             0.00043126,             0.00043126,             0.00043126
                      8,                 0.8509,                0.63321,                0.98169,                 1.6792,             0.00038413,             0.00038413,             0.00038413
                      9,                 0.8349,                0.64165,                0.98276,                 1.6712,             0.00033701,             0.00033701,             0.00033701
                     10,                0.83485,                0.64219,                0.98187,                 1.6688,             0.00028988,             0.00028988,             0.00028988
                     11,                0.82737,                0.64919,                0.98223,                 1.6623,             0.00024276,             0.00024276,             0.00024276
                     12,                0.81828,                0.64578,                0.98294,                 1.6615,             0.00019564,             0.00019564,             0.00019564
                     13,                0.82962,                0.65332,                0.98294,                 1.6592,             0.00014851,             0.00014851,             0.00014851
                     14,                0.81037,                0.65063,                  0.986,                 1.6578,             0.00010139,             0.00010139,             0.00010139
                     15,                0.82597,                0.65583,                0.98564,                 1.6601,             5.4264e-05,             5.4264e-05,             5.4264e-05
