                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8929,                0.42693,                0.91957,                 1.8957,             0.00023777,             0.00023777,             0.00023777
                      2,                 1.5108,                 0.5237,                0.95476,                 1.8278,             0.00044437,             0.00044437,             0.00044437
                      3,                 1.3694,                0.54578,                0.96122,                  1.788,             0.00061955,             0.00061955,             0.00061955
                      4,                 1.2933,                 0.5711,                0.97235,                  1.763,             0.00057263,             0.00057263,             0.00057263
                      5,                 1.2166,                0.59767,                0.97217,                 1.7452,              0.0005255,              0.0005255,              0.0005255
                      6,                 1.1788,                0.60341,                0.97379,                 1.7298,             0.00047838,             0.00047838,             0.00047838
                      7,                 1.1326,                0.61023,                0.97702,                 1.7214,             0.00043126,             0.00043126,             0.00043126
                      8,                  1.094,                0.62065,                0.97989,                 1.7167,             0.00038413,             0.00038413,             0.00038413
                      9,                 1.0648,                 0.6228,                0.98294,                 1.7067,             0.00033701,             0.00033701,             0.00033701
                     10,                 1.0463,                0.63178,                0.98223,                 1.7021,             0.00028988,             0.00028988,             0.00028988
                     11,                 1.0174,                0.64381,                0.98097,                 1.6933,             0.00024276,             0.00024276,             0.00024276
                     12,                0.99106,                 0.6368,                0.98025,                 1.6871,             0.00019564,             0.00019564,             0.00019564
                     13,                0.98655,                0.65189,                0.98348,                 1.6821,             0.00014851,             0.00014851,             0.00014851
                     14,                0.95146,                0.65099,                0.98456,                  1.679,             0.00010139,             0.00010139,             0.00010139
                     15,                0.94356,                0.65422,                 0.9851,                 1.6804,             5.4264e-05,             5.4264e-05,             5.4264e-05
